Experiment;1;t;x;y;2;;;;3
;;460.2163;0.007967038;0.0190772;;;;;
;;463.5487;0.006249476;0.01900227;;;;;
;;466.8812;0.009669853;0.01918726;;;;;
;;470.2137;0.007795949;0.01924205;;;;;
;;473.5462;0.00418686;0.01905026;;;;;
;;476.8787;0.006577544;0.01902644;;;;;
;;480.2111;0.009058553;0.01944789;;;;;
;;483.5436;0.008755539;0.01943808;;;;;
;;486.8761;0.005972291;0.01914078;;;;;
;;490.2087;0.006019252;0.0191487;;;;;
;;493.5411;0.008761738;0.01943327;;;;;
;;496.8736;0.006099508;0.0189768;;;;;
;;500.2061;0.00935893;0.01948703;;;;;
;;503.5386;0.006416875;0.01901667;;;;;
;;506.871;0.006690534;0.01903579;;;;;
;;510.2036;0.006586203;0.01904617;;;;;
;;513.5361;0.004973982;0.01908771;;;;;
;;516.8685;0.004970284;0.01908797;;;;;
;;520.201;0.003912236;0.01889866;;;;;
;;523.5334;0.004888071;0.0190835;;;;;
;;526.866;0.004245279;0.01904821;;;;;
;;530.1984;0.004140883;0.01901238;;;;;
;;533.5309;0.01036394;0.01996934;;;;;
;;536.8634;0.002223113;0.01982251;;;;;
;;540.1959;0.006619639;0.01980191;;;;;
;;543.5284;0.009169173;0.02002868;;;;;
;;546.8609;0.006962637;0.01993052;;;;;
;;550.1933;0.007254518;0.02005178;;;;;
;;553.5258;0.006989618;0.02025685;;;;;
;;556.8583;0.003328307;0.02089974;;;;;
;;560.1908;0.007526034;0.02100521;;;;;
;;563.5566;0.002237483;0.02097014;;;;;
;;566.8891;0.009542588;0.02056837;;;;;
;;570.2216;0.002217876;0.02100798;;;;;
;;573.5542;0.01111019;0.02073159;;;;;
;;576.8865;0.007006087;0.02106454;;;;;
;;580.219;0.01029533;0.02098543;;;;;
;;583.5515;0.009340156;0.0210834;;;;;
;;586.884;0.008738319;0.02115425;;;;;
;;590.2165;0.01005286;0.02124512;;;;;
;;593.549;0.007554484;0.0211187;;;;;
;;596.8815;0.007831841;0.02114929;;;;;
;;600.214;0.002644424;0.02131806;;;;;
;;603.5464;0.009535521;0.02153335;;;;;
;;606.8789;0.009016748;0.0222467;;;;;
;;610.2114;0.004297194;0.02187773;;;;;
;;613.5439;0.002894933;0.02187229;;;;;
;;616.8764;0.004533829;0.02200174;;;;;
;;620.2089;0.01011737;0.02216148;;;;;
;;623.5414;0.01098947;0.02343699;;;;;
;;626.8738;0.01101613;0.02342999;;;;;
;;630.2063;0.007911692;0.02174676;;;;;
;;633.5388;0.009772794;0.02213217;;;;;
;;636.8713;0.007756478;0.02203379;;;;;
;;640.2371;0.00891971;0.02269423;;;;;
;;643.5696;0.003598569;0.02222237;;;;;
;;646.9021;0.009240142;0.02269488;;;;;
;;650.2346;0.009994808;0.0224416;;;;;
;;653.567;0.007773206;0.0217374;;;;;
;;656.8995;0.00833901;0.02266919;;;;;
;;660.232;0.01036047;0.02189606;;;;;
;;663.5645;0.01047955;0.02202217;;;;;
;;666.897;0.008774605;0.021926;;;;;
;;670.2295;0.009953949;0.02199748;;;;;
;;673.562;0.009192508;0.02196132;;;;;
;;676.8945;0.008718486;0.02193222;;;;;
;;680.2269;0.01068833;0.02203884;;;;;
;;683.5594;0.0106256;0.02201409;;;;;
;;686.8919;0.01036752;0.02202922;;;;;
;;690.2244;0.01058167;0.02216728;;;;;
;;693.5569;0.006621045;0.02168377;;;;;
;;696.9227;0.006696988;0.02171329;;;;;
;;700.2551;0.006563967;0.0216584;;;;;
;;703.5876;0.006308711;0.0216356;;;;;
;;706.9201;0.006665116;0.02167106;;;;;
;;710.2526;0.000378817;0.0236855;;;;;
;;713.5851;0.004946468;0.02261146;;;;;
;;716.9177;8.06446E-05;0.02383763;;;;;
;;720.2501;0.009287644;0.02383954;;;;;
;;723.5825;0.007329554;0.02253959;;;;;
;;726.915;0.007804545;0.02234312;;;;;
;;730.2475;0.01099026;0.0233868;;;;;
;;733.58;0.01084737;0.02353341;;;;;
;;736.9125;0.0104814;0.02348428;;;;;
;;740.245;0.006371875;0.02256459;;;;;
;;743.5775;0.006621303;0.02259333;;;;;
