T,theta_l
373.15,1.0
372.59296080659226,1.0
372.03594060311923,1.0
371.47895837812564,1.0
370.92203311737586,1.0
370.36518380246093,1.0
369.80842940940204,1.0
369.25178890724965,1.0
368.69528125667375,1.0
368.1389254085447,1.0
367.58274030249845,1.0
367.0267448654833,1.0
366.4709580102813,1.0
365.91539863399686,1.0
365.360085616506,1.0
364.80503781885443,1.0
364.25027408159553,1.0
363.69581322305424,1.0
363.1416740375037,1.0
362.58787529323877,1.0
362.0344357305294,1.0
361.48137405943584,1.0
360.9287089574644,1.0
360.3764590670435,1.0
359.82464299279695,1.0
359.2732792985896,1.0
358.72238650432115,1.0
358.171983082442,1.0
357.62208745416376,1.0
357.0727179853379,1.0
356.5238929819745,1.0
355.9756306853741,1.0
355.4279492668452,1.0
354.88086682198093,1.0
354.33440136447007,1.0
353.7885708194173,1.0
353.2433930161519,1.0
352.6988856805032,1.0
352.15506642652696,1.0
351.6119527476665,1.0
351.0695620073396,1.0
350.5279114289416,1.0
349.987018085264,1.0
349.4468988873289,1.0
348.9075705726456,1.0
348.3690496929024,1.0
347.8313526011107,1.0
347.29449543822386,1.0
346.75849411926157,1.0
346.2233643189739,1.0
345.68912145708845,1.0
345.15578068318683,1.0
344.623356861267,1.0
344.0918645540497,1.0
343.56131800709846,1.0
343.0317311328218,1.0
342.50311749443944,1.0
341.9754902899914,1.0
341.4488623364799,1.0
340.92324605423397,1.0
340.39865345159166,1.0
339.8750961099969,1.0
339.3525851696111,1.0
338.8311313155383,1.0
338.31074476476726,1.0
337.7914352539282,1.0
337.2732120279659,1.0
336.7560838298244,1.0
336.24005889123896,1.0
335.7251449247254,1.0
335.2113491168513,1.0
334.69867812287214,1.0
334.18713806280476,1.0
333.676734519007,1.0
333.16747253532446,1.0
332.65935661785613,1.0
332.1523907373854,1.0
331.6465783335121,1.0
331.1419223205129,1.0
330.63842509495163,1.0
330.1360885450477,1.0
329.63491406180685,1.0
329.1349025519081,1.0
328.6360544523324,1.0
328.1398766423432,0.9949383211716167
327.7420104930325,0.7960052465162732
327.41348333816603,0.6317416690830271
327.13695734686723,0.4934786734336285
326.90097411012897,0.37548705506449664
326.6974685746258,0.2737342873129194
326.52056375576973,0.1852818778848757
326.36593552971726,0.10796776485864257
326.2304485378053,0.040224268902647964
326.11107444025134,0.0
325.9921131776084,0.0
325.8735618165839,0.0
325.75541776034044,0.0
325.6376787413664,0.0
325.5203428131156,0.0
325.4034083405116,0.0
325.2868739894172,0.0
325.1707387151735,0.0
325.0550017503185,0.0
324.93966259159544,0.0
324.82472098636606,0.0
324.7101769185397,0.0
324.5960305941332,0.0
324.48228242657143,0.0
324.3689330218369,0.0
324.2559831635725,0.0
324.1434337982384,0.0
324.0312860204151,0.0
323.9195410583434,0.0
323.8082002597796,0.0
323.69726507824265,0.0
323.58673705971717,0.0
323.47661782987217,0.0
323.3669090818442,0.0
323.25761256462766,0.0
323.14873007210593,0.0
323.0402634327476,0.0
322.9322144999876,0.0
322.82458514330176,0.0
322.7173772399791,0.0
322.61059266758815,0.0
322.5042332971279,0.0
322.3983009868484,0.0
322.29279757672134,0.0
322.1877248835357,0.0
322.0830846965918,0.0
321.978878773962,0.0
321.8751088392839,0.0
321.77177657905304,0.0
321.6688836403764,0.0
321.56643162915026,0.0
321.46442210862546,0.0
321.362856598322,0.0
321.26173657325705,0.0
321.1610634634498,0.0
321.0608386536707,0.0
320.9610634834004,0.0
320.8617392469689,0.0
320.76286719384547,0.0
320.6644485290534,0.0
320.56648441368344,0.0
320.46897596548604,0.0
320.3719242595193,0.0
320.2753303288387,0.0
320.1791951652087,0.0
320.083519719826,0.0
319.9883049040415,0.0
319.89355159007124,0.0
319.79926061168874,0.0
319.7054327648919,0.0
319.61206880854104,0.0
319.51916946496203,0.0
319.42673542051506,0.0
319.33476732612496,0.0
319.24326579777545,0.0
319.1522314169644,0.0
319.06166473112455,0.0
318.9715662540082,0.0
318.8819364660398,0.0
318.79277581463697,0.0
318.7040847145042,0.0
318.6158635478998,0.0
318.5281126648807,0.0
318.4408323835259,0.0
318.3540229901424,0.0
318.2676847394557,0.0
318.1818178547876,0.0
318.0964225282227,0.0
318.01149892076745,0.0
317.9270471625009,0.0
317.8430673527231,0.0
317.7595595600976,0.0
317.67652382279476,0.0
317.5939601486325,0.0
317.5118685152194,0.0
317.4302488700981,0.0
317.34910113089165,0.0
317.2684251854531,0.0
317.1882208920176,0.0
317.1084880793603,0.0
317.0292265469561,0.0
316.9504360651462,0.0
316.8721163753075,0.0
316.7942671900278,0.0
316.716888193285,0.0
316.6399790406313,0.0
316.5635393593819,0.0
316.48756874880803,0.0
316.4120667803344,0.0
316.3370329977407,0.0
316.2624669173673,0.0
316.18836802832436,0.0
316.1147357927049,0.0
316.0415696458011,0.0
315.9688689963239,0.0
315.8966332266258,0.0
315.82486169292605,0.0
315.75355372553906,0.0
315.68270862910526,0.0
315.61232568282395,0.0
