T,theta_l
373.15,1.0
372.3626760899301,1.0
371.5754055515851,1.0
370.78824173868406,1.0
370.00123796914295,1.0
369.21444750770286,1.0
368.4279235492127,1.0
367.641719202817,1.0
366.8558874773232,1.0
366.0704812680534,1.0
365.2855533455124,1.0
364.50115634623694,1.0
363.71734276621413,1.0
362.9341649572774,1.0
362.1516751268974,1.0
361.3699253417765,1.0
360.58896753563596,1.0
359.8088535215308,1.0
359.0296350089578,1.0
358.2513636259132,1.0
357.4740909459159,1.0
356.6978685198381,1.0
355.9227479121685,1.0
355.1487807410843,1.0
354.37601872142636,1.0
353.6045137093575,1.0
352.83431774715666,1.0
352.0654831062558,1.0
351.2980623262936,1.0
350.53210824763653,1.0
349.7676740345389,1.0
349.00481318588237,1.0
348.243579530285,1.0
347.4840272023093,1.0
346.72621059655086,1.0
345.97018429657174,1.0
345.2160029759571,1.0
344.4637212692451,1.0
343.7133936110862,1.0
342.96507404274627,1.0
342.2188159859487,1.0
341.4746719850413,1.0
340.73269341954546,1.0
339.9929301902638,1.0
339.2554303832437,1.0
338.52023991698485,1.0
337.7874021792772,1.0
337.0569576609349,1.0
336.3289435943864,1.0
335.6033936055714,1.0
334.88033738783986,1.0
334.15980040651806,1.0
333.44180364250707,1.0
332.7263633826881,1.0
332.01349106405445,1.0
331.3031931773849,1.0
330.59547123496077,1.0
329.8903218053435,1.0
329.1877366166383,1.0
328.4877027280127,1.0
327.8481246300705,0.849062315035269
327.3705528919833,0.6102764459916727
326.99927648789236,0.4246382439461911
326.70205057741475,0.2760252887073875
326.45894873519103,0.15447436759552602
326.2576216316013,0.053810815800659384
326.0888576382674,0.0
325.9209264595326,0.0
325.75381927477804,0.0
325.5875287111463,0.0
325.42204876000676,0.0
325.2573746916662,0.0
325.0935029691258,0.0
324.930431161593,0.0
324.76815785838346,0.0
324.606682583772,0.0
324.4460057132972,0.0
324.2861283919622,0.0
324.12705245473046,0.0
323.9687803496657,0.0
323.811315064026,0.0
323.6546600535804,0.0
323.49881917537664,0.0
323.34379662415364,0.0
323.1895968725501,0.0
323.0362246152267,0.0
322.88368471697834,0.0
322.7319821648795,0.0
322.5811220244641,0.0
322.43110939991027,0.0
322.28194939816456,0.0
322.1336470969058,0.0
321.98620751622417,0.0
321.83963559385904,0.0
321.69393616382,0.0
321.54911393819305,0.0
321.4051734919185,0.0
321.2621192503176,0.0
321.1199554791313,0.0
320.9786862768377,0.0
320.8383155690063,0.0
320.6988471044577,0.0
320.5602844529973,0.0
320.42263100450396,0.0
320.28588996916454,0.0
320.15006437865895,0.0
320.01515708811365,0.0
319.8811707786599,0.0
319.7481079604466,0.0
319.6159709759761,0.0
319.48476200364814,0.0
319.354483061412,0.0
319.225136010444,0.0
319.0967225587823,0.0
318.96924426486265,0.0
318.8427025409158,0.0
318.7170986561918,0.0
318.59243373999533,0.0
318.46870878451585,0.0
318.34592464745066,0.0
318.22408205442235,0.0
318.10318160119596,0.0
317.9832237557089,0.0
317.8642088599252,0.0
317.74613713153155,0.0
317.629008665491,0.0
317.5128234354726,0.0
317.39758129517503,0.0
317.2832819795602,0.0
317.16992510601574,0.0
317.05751017545913,0.0
316.9460365734004,0.0
316.8355035709739,0.0
316.725910325953,0.0
316.61725588375566,0.0
316.509539178451,0.0
316.40275903377295,0.0
316.2969141641481,0.0
316.1920031757413,0.0
316.08802456752306,0.0
315.98497673236227,0.0
315.8828579581443,0.0
315.78166642891756,0.0
315.6814002260668,0.0
315.5820573295152,0.0
315.4836356189529,0.0
315.386132875093,0.0
315.2895467809511,0.0
315.19387492315064,0.0
315.0991147932497,0.0
315.00526378908916,0.0
314.91231921615986,0.0
314.8202782889887,0.0
314.72913813253984,0.0
314.6388957836318,0.0
314.54954819236735,0.0
314.4610922235757,0.0
314.3735246582656,0.0
314.28684219508784,0.0
314.2010414518064,0.0
314.11611896677675,0.0
314.0320712004311,0.0
313.94889453676836,0.0
313.86658528485,0.0
313.7851396802984,0.0
313.70455388680034,0.0
313.6248239976107,0.0
313.5459460370607,0.0
313.46791596206475,0.0
313.3907296636311,0.0
313.31438296836984,0.0
313.23887164000314,0.0
313.16419138087315,0.0
313.0903378334494,0.0
313.01730658183476,0.0
312.945093153269,0.0
312.87369301963025,0.0
312.80310159893304,0.0
312.73331425682363,0.0
312.66432630807134,0.0
312.59613301805587,0.0
312.52872960425,0.0
312.4621112376977,0.0
312.3962730444863,0.0
312.3312101072142,0.0
312.266917466451,0.0
312.2033901221926,0.0
312.1406230353086,0.0
312.07861112898274,0.0
312.0173492901463,0.0
311.9568323709028,0.0
311.897055189945,0.0
311.83801253396337,0.0
