T,theta_l
373.0,0.0
372.0,1.0
372.0,1.0
371.0,1.0
371.0,1.0
370.0,1.0
370.0,1.0
370.0,1.0
369.0,1.0
369.0,1.0
368.0,1.0
368.0,1.0
367.0,1.0
367.0,1.0
366.0,1.0
366.0,1.0
366.0,1.0
365.0,1.0
365.0,1.0
364.0,1.0
364.0,1.0
363.0,1.0
363.0,1.0
362.0,1.0
362.0,1.0
362.0,1.0
361.0,1.0
361.0,1.0
360.0,1.0
360.0,1.0
359.0,1.0
359.0,1.0
358.0,1.0
358.0,1.0
358.0,1.0
357.0,1.0
357.0,1.0
356.0,1.0
356.0,1.0
355.0,1.0
355.0,1.0
354.0,1.0
354.0,1.0
354.0,1.0
353.0,1.0
353.0,1.0
352.0,1.0
352.0,1.0
351.0,1.0
351.0,1.0
351.0,1.0
350.0,1.0
350.0,1.0
349.0,1.0
349.0,1.0
348.0,1.0
348.0,1.0
348.0,1.0
347.0,1.0
347.0,1.0
346.0,1.0
346.0,1.0
345.0,1.0
345.0,1.0
345.0,1.0
344.0,1.0
344.0,1.0
343.0,1.0
343.0,1.0
342.0,1.0
342.0,1.0
342.0,1.0
341.0,1.0
341.0,1.0
340.0,1.0
340.0,1.0
339.0,1.0
339.0,1.0
339.0,1.0
338.0,1.0
338.0,1.0
337.0,1.0
337.0,1.0
337.0,1.0
336.0,1.0
336.0,1.0
335.0,1.0
335.0,1.0
335.0,1.0
334.0,1.0
334.0,1.0
333.0,1.0
333.0,1.0
332.0,1.0
332.0,1.0
332.0,1.0
331.0,1.0
331.0,1.0
330.0,1.0
330.0,1.0
330.0,1.0
329.0,1.0
329.0,1.0
328.0,1.0
328.0,1.0
328.0,1.0
327.0,0.35000000000002274
327.0,0.35000000000002274
327.0,0.35000000000002274
327.0,0.35000000000002274
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
326.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
325.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
323.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
321.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
319.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
318.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
317.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
316.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
315.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
314.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
313.0,0.0
